ABL	2540517
ABO	2580787
ACC	1425476
ACE	2494820
ACH	2875296
ACK	3266991
ACO	1326689
ACT	3435753
ADA	1423365
ADE	3123890
ADI	1851016
AFT	2285964
AGA	1546877
AGE	3754029
AID	3113433
AIL	1580257
AIN	5432669
AIR	1452477
AKE	3044556
ALA	2336606
ALC	1252782
ALE	2270031
ALI	3484802
ALL	10501105
ALO	2023953
ALS	4535715
ALT	2217527
AMA	1883841
AME	5865810
AMI	1770347
AMO	1298805
AMP	1530333
ANA	3928099
ANC	3795939
AND	30997177
ANE	2464984
ANG	2602649
ANI	3205086
ANK	1190563
ANN	1586455
ANO	2063752
ANS	3499108
ANT	5421991
ANY	3050533
APP	2466311
ARA	2352538
ARC	1342124
ARD	3801093
ARE	8741156
ARG	1472465
ARI	2638406
ARK	1645609
ARL	1699355
ARM	1154487
ARO	1532759
ARR	1868467
ARS	2649688
ART	5831801
ARY	1952466
ASA	4218160
ASB	1246692
ASC	1198386
ASE	3574910
ASH	2015194
ASI	2327348
ASO	2302496
ASP	1264261
ASS	4163441
AST	7076453
ATA	2142046
ATC	1482545
ATE	10712298
ATH	3709084
ATI	11227573
ATO	1892931
ATS	1972278
ATT	6182518
ATU	1360997
ATW	1251071
AUS	1739916
AVE	5572665
AVI	1319342
AWA	1393952
AYE	1577851
AYS	2189923
BAC	1540779
BAL	1247492
BAN	1364335
BAS	1269571
BEA	1565698
BEC	2255869
BEE	2065528
BEI	1129248
BEL	1216264
BER	3434019
BES	1091585
BET	1726872
BIL	1216161
BLE	3507036
BLI	1455188
BOU	2375317
BRI	1258167
BRO	1226231
BUT	4177438
BYT	1372919
CAL	3993323
CAM	1574337
CAN	4410865
CAR	2441448
CAS	1323734
CAT	2201423
CAU	1416389
CEA	1249363
CED	1603598
CEI	1256877
CEN	2640052
CER	1423677
CES	3462307
CET	1234925
CHA	5041682
CHE	2845883
CHI	3205773
CHO	2434122
CIA	2122300
CIT	1430939
CKE	1251112
CLA	1280292
CLE	1331933
CLU	1453288
COL	1653235
COM	6822254
CON	7783588
COR	2395975
COU	3904778
CRE	2144746
CRI	1101185
CTE	1487884
CTI	4040752
CTO	1684050
CUR	1154026
DAL	1253918
DAN	3372178
DAR	1246732
DAS	1668669
DAT	1941336
DAY	2743116
DBE	1858905
DBY	2271890
DCO	1476786
DEA	1866349
DEC	1470797
DED	2753361
DEF	1173126
DEL	1142439
DEN	3344602
DER	4926618
DES	2611133
DEV	1201012
DFO	1768076
DGE	1158225
DHA	1216559
DHE	1330580
DHI	1356938
